cluster,ins_mean,ins_median,ins_var,ins_std,ins_p05,ins_p25,ins_p50,ins_p75,ins_p95,del_mean,del_median,del_var,del_std,del_p05,del_p25,del_p50,del_p75,del_p95
AA,0.6320205517685324,0.6323999457794727,0.004945936976208678,0.07032735581698403,0.5231902712158423,0.5992415059567753,0.6323999457794727,0.679770926924864,0.7254621521770852,0.6277104183679346,0.6269972781526274,0.004828484981058662,0.06948730086180253,0.5194216110729295,0.5956862000978592,0.6269972781526274,0.672567580261882,0.7203122818229507
AC,0.49591116689129316,0.5348747258190955,0.009267358205927351,0.09626711902787655,0.3359047848455653,0.44117573800242926,0.5348747258190955,0.5515466545115515,0.6105417224242873,0.4945541024258057,0.5335308271809058,0.009500422437123969,0.09747011048072106,0.3311434668874833,0.44152404364988834,0.5335308271809058,0.5507147304355323,0.611215968449661
AB,0.5957974518890906,0.5953415810079943,0.0009152749523375976,0.030253511405084824,0.5488769118562967,0.5899938092481588,0.5953415810079943,0.6070991006904725,0.6364667751056035,0.5667905387452635,0.5490644084793621,0.0013832032447469256,0.037191440476901746,0.5209587241740146,0.540621976618587,0.5490644084793621,0.5974230885836422,0.6225983271712234
