cluster,ins_mean,ins_median,ins_var,ins_std,ins_p05,ins_p25,ins_p50,ins_p75,ins_p95,del_mean,del_median,del_var,del_std,del_p05,del_p25,del_p50,del_p75,del_p95
AA,0.22696380494137827,0.23216989679666136,0.0017181795225706309,0.04145092909176622,0.16137351899190452,0.21108593998321384,0.23216989679666136,0.24318008968690397,0.28872389858220504,0.20252370138713716,0.20748570188290844,0.0017537082314104287,0.04187729971488645,0.1320802519110743,0.18805597063045215,0.20748570188290844,0.22377842627365907,0.2578207281397394
AC,0.5179960346296651,0.5419527639584083,0.00647309092100161,0.08045552138294555,0.3799018228612915,0.4728751708964539,0.5419527639584083,0.5623408393556063,0.6227954576926393,0.5121846609924906,0.5377794181123032,0.005905296285295399,0.07684592562586125,0.38168670017442174,0.4700275691767729,0.5377794181123032,0.5574063335970478,0.6123313827088912
AB,0.29310503090069207,0.330715034862829,0.0059314374788115905,0.07701582615807995,0.16314995302214663,0.2369784914597995,0.330715034862829,0.3585914238753928,0.37222717388021803,0.28494892997147603,0.3195760722538186,0.005854871385828411,0.07651713132252418,0.15538765077053723,0.230043539605718,0.3195760722538186,0.35156449811580925,0.363777712952155
