cluster,ins_mean,ins_median,ins_var,ins_std,ins_p05,ins_p25,ins_p50,ins_p75,ins_p95,del_mean,del_median,del_var,del_std,del_p05,del_p25,del_p50,del_p75,del_p95
AA,0.37858110527067484,0.3707805640317779,0.005617342083073017,0.07494892983274022,0.2986311895783054,0.317654214806535,0.3707805640317779,0.4207305216544321,0.5084606731180472,0.2990352304147561,0.2921330317950025,0.00740462125546519,0.08605010897997277,0.21449009241677855,0.23135701933499334,0.2921330317950025,0.3248120433298433,0.458738230568445
AC,0.4451556616412216,0.4565749916895592,0.003875421922187157,0.06225288685825869,0.34627718984509687,0.41526872148800126,0.4565749916895592,0.465751507924666,0.5432703574445892,0.41710097243851263,0.42605175071849105,0.003463672067120438,0.05885296990909157,0.32140314506167555,0.390180187031867,0.42605175071849105,0.4423059333625724,0.5032144840008453
AB,0.29380640199048513,0.3181069787187916,0.006216828200131608,0.07884686550606566,0.171251558248732,0.23400635260149893,0.3181069787187916,0.33505333806769616,0.3978276381183521,0.2597061401615297,0.28773597590037303,0.006491432479964921,0.08056942645920301,0.13416860202880498,0.1958696529752214,0.28773597590037303,0.30470952147160113,0.36179836591388415
