cluster,ins_mean,ins_median,ins_var,ins_std,ins_p05,ins_p25,ins_p50,ins_p75,ins_p95,del_mean,del_median,del_var,del_std,del_p05,del_p25,del_p50,del_p75,del_p95
AB,0.6366207274821865,0.6462632111256583,0.0024208293783701193,0.04920192453929134,0.5730153950627765,0.6018412311039516,0.6462632111256583,0.6594670766050819,0.7101437379426665,0.42430025275849786,0.4232469496053199,0.003723790176213483,0.06102286601113949,0.3465133598283476,0.3615951112961333,0.4232469496053199,0.4863104052054591,0.500933502158838
AC,0.717850279612963,0.7211300472346325,0.002089307911256461,0.045708947824867514,0.649352424369212,0.6992407139986927,0.7211300472346325,0.7486629248778249,0.7737352870882767,0.31875713702213243,0.32087839931187434,0.0014258216329974727,0.03776005340300081,0.2635107927390647,0.288260458960003,0.32087839931187434,0.3494149066951373,0.36980877232222775
AD,0.6824889491206019,0.6749511453807552,0.002066186933050952,0.04545532898408009,0.6188039425812418,0.6569754444527738,0.6749511453807552,0.7138583686140677,0.7550072660879555,0.39618635411169384,0.3889640823068039,0.0020907047657334667,0.04572422515181057,0.3262662769961084,0.37545116433241776,0.3889640823068039,0.42483918844684465,0.4658219489039481
AA,0.5414796321743869,0.5522151989608711,0.0027501386546216386,0.05244176441178956,0.45253179910338803,0.5143885774662862,0.5522151989608711,0.5782859049144677,0.6046818161999612,0.42220966539834204,0.4100217365301607,0.00241374992332845,0.04912992899779573,0.35709375742633886,0.3970156648247066,0.4100217365301607,0.4525898757032416,0.4990664572507307
