cluster,ins_mean,ins_median,ins_var,ins_std,ins_p05,ins_p25,ins_p50,ins_p75,ins_p95,del_mean,del_median,del_var,del_std,del_p05,del_p25,del_p50,del_p75,del_p95
AB,0.7506256045581924,0.7447744479153877,0.0014188292267976166,0.03766734961206611,0.690860855146429,0.7295643347480659,0.7447744479153877,0.77755662731356,0.8012469422183821,0.5347432672884711,0.5349697780809025,0.0005789685544096138,0.024061765405090578,0.5025823642913291,0.5143696170975469,0.5349697780809025,0.5493553267928306,0.572114672769777
AC,0.8255805143436359,0.8186150278935893,0.0017027709511798148,0.04126464529327515,0.7795529921748972,0.7924042920273859,0.8186150278935893,0.8571644008801353,0.8914335272276459,0.7040898012802228,0.7120927798319149,0.0019587715280091514,0.04425801089078848,0.6295861271299248,0.6865654673968244,0.7120927798319149,0.7247692985690579,0.764644257565336
AA,0.7986046435811651,0.7979840737844472,0.004531924434971026,0.0673195694799887,0.6936741312477952,0.7676028557160686,0.7979840737844472,0.8346895442452101,0.898348480919613,0.5605287152619417,0.5288319977172846,0.006351580104156959,0.07969680109111632,0.46187262376835586,0.4990527631516679,0.5288319977172846,0.6399011059454626,0.6686922064546192
