cluster,ins_mean,ins_median,ins_var,ins_std,ins_p05,ins_p25,ins_p50,ins_p75,ins_p95,del_mean,del_median,del_var,del_std,del_p05,del_p25,del_p50,del_p75,del_p95
AA,0.03217768249784984,0.03759501415724592,0.0004024577674935982,0.020061350091496788,0.006685237588357132,0.01477274626986347,0.03759501415724592,0.03946703166198309,0.058093631847282515,0.029466324682529337,0.03563406596740584,0.0003543039595945082,0.018822963624108405,0.0048467660589256445,0.012521547405485566,0.03563406596740584,0.0382227629404773,0.052349077819840974
AB,0.018139149421319976,0.008769391405766939,0.00021541126086730921,0.014676895477835536,0.006409700672134653,0.007838894587979758,0.008769391405766939,0.03104073250524956,0.039065763688257586,0.014495099865432048,0.0041543788360492145,0.0002201687788719248,0.01483808541800204,0.0037773138671762883,0.004021708072218061,0.0041543788360492145,0.027650251072660916,0.035489220788624536
AC,0.13818312339050973,0.14341299140449637,0.0020328124964253767,0.04508672195253694,0.07247226856334829,0.11425963431763891,0.14341299140449637,0.16894824528696295,0.19323137698563175,0.14792895334315334,0.15696273483171075,0.0026630807035275387,0.05160504533015681,0.07373315921353672,0.11551144177530452,0.15696273483171075,0.18061289122923513,0.21140771819063098
