cluster,ins_mean,ins_median,ins_var,ins_std,ins_p05,ins_p25,ins_p50,ins_p75,ins_p95,del_mean,del_median,del_var,del_std,del_p05,del_p25,del_p50,del_p75,del_p95
AA,0.049589606985052624,0.045188985835779794,0.0001137334582461952,0.010664588986275805,0.04337630939967573,0.043550049469141656,0.045188985835779794,0.046995268027510737,0.0666928935602164,0.03527573830316522,0.03189270239047154,0.00013504320621631508,0.011620809189394475,0.022984157061472586,0.025268160320609356,0.03189270239047154,0.046111398407260855,0.050962140028640635
AB,0.20825683614703072,0.18835125349076248,0.0023683155246169217,0.04866534212986611,0.1639355849015794,0.16533814893277798,0.18835125349076248,0.24482426734817414,0.2800354378335344,0.20265675644670822,0.18142639510595326,0.0024289973193915783,0.049284858926363764,0.15880667621833303,0.1593575188614255,0.18142639510595326,0.23984438956985699,0.27534999454738696
AC,0.1611435480229089,0.14359871787031941,0.00547191834901337,0.07397241613610692,0.0791764066631631,0.11174106219682145,0.14359871787031941,0.1990561183072247,0.27123960158852356,0.1505738986941033,0.13231380474029708,0.00579810246673481,0.07614527212332234,0.0670854394275097,0.10159286699931984,0.13231380474029708,0.18567434806461414,0.26461952245631926
