cluster,ins_mean,ins_median,ins_var,ins_std,ins_p05,ins_p25,ins_p50,ins_p75,ins_p95,del_mean,del_median,del_var,del_std,del_p05,del_p25,del_p50,del_p75,del_p95
AA,0.2035145470278059,0.19194748318631993,0.0024100796975559634,0.04909256254827164,0.15442257033797774,0.16688559129903957,0.19194748318631993,0.22545947853121384,0.2899499964070016,0.18229259878230375,0.1773928720710887,0.002294799736226602,0.04790406805508904,0.1326686466917858,0.1454394763507052,0.1773928720710887,0.20655108746295342,0.26521978300758986
AC,0.1014172003303654,0.09585269206160506,0.001047430672118173,0.032364033619408025,0.06315371816960169,0.07312043420015729,0.09585269206160506,0.12367006363630378,0.15329267173336875,0.07769292209713043,0.07635020077125167,0.0011273569556413169,0.0335761366991695,0.04156959902428631,0.043823936513794556,0.07635020077125167,0.09511772576699544,0.1342998543916128
AB,0.33056024408642776,0.32842023181106017,0.002796871933910952,0.052885460515258366,0.26734126589558743,0.29293236301279185,0.32842023181106017,0.35776776608226074,0.4129525592587624,0.2518406890453575,0.2521455112018945,0.003091077351237441,0.05559745813647815,0.17852908655834115,0.22155549987975803,0.2521455112018945,0.2743402719266538,0.3307060015314339
AD,0.12227337949370932,0.11986724951288655,0.0017269534875523783,0.04155662988684691,0.06715357377451218,0.09440171808796624,0.11986724951288655,0.1478111763354138,0.18965868416063938,0.09349707750482227,0.08085234030587263,0.0018475260027577033,0.042982857079976705,0.032511149364902986,0.07324492925984952,0.08085234030587263,0.11021615832900594,0.16564255149898882
