,algorithm,dataset_name,insertion,deletion
0,baseline,MNIST overlaping balanced,0.5003679064777272,0.4916541187895292
1,briggs,MNIST overlaping balanced,0.4514252488843076,0.5214622371452902
2,sattler,MNIST overlaping balanced,0.5530349841207216,0.4286730681827476
3,kmeans,MNIST overlaping balanced,0.6391501751133679,0.37077949578667657
4,affinity,MNIST overlaping balanced,0.5904669897113726,0.4313789789886203
5,meanshift,MNIST overlaping balanced,0.6446098970975346,0.3903633523226665
6,HDBSCAN,MNIST overlaping balanced,0.6164610513149049,0.3767784747006111
7,baseline,MNIST overlaping imbalanced,0.6289536167035086,0.4055467681592142
8,briggs,MNIST overlaping imbalanced,0.674429368178115,0.3433362054844551
9,sattler,MNIST overlaping imbalanced,0.6606198783152105,0.3633992746622711
10,kmeans,MNIST overlaping imbalanced,0.6339459749764291,0.3992728845012256
11,affinity,MNIST overlaping imbalanced,0.581857878565075,0.47953009450831346
12,meanshift,MNIST overlaping imbalanced,0.6148775855910489,0.5061828252818245
13,HDBSCAN,MNIST overlaping imbalanced,0.6303071393506118,0.39874186447490784
14,baseline,MNIST nonoverlaping balanced,0.6011424903134983,0.3201785880888229
15,briggs,MNIST nonoverlaping balanced,0.6490398668006438,0.298534026449899
16,sattler,MNIST nonoverlaping balanced,0.618527757127439,0.4411280310347392
17,kmeans,MNIST nonoverlaping balanced,0.6721230502326053,0.4431676532982678
18,affinity,MNIST nonoverlaping balanced,0.6410429014370085,0.3350656240553106
19,meanshift,MNIST nonoverlaping balanced,0.6616954740383536,0.4451979162271201
20,HDBSCAN,MNIST nonoverlaping balanced,0.6520285713421917,0.4613779840025491
21,baseline,MNIST nonoverlaping imbalanced,0.6883039455581403,0.252791350246475
22,briggs,MNIST nonoverlaping imbalanced,0.7141697720178178,0.2648804288035703
23,sattler,MNIST nonoverlaping imbalanced,0.6588512135212015,0.4300460341756724
24,kmeans,MNIST nonoverlaping imbalanced,0.6787703176263132,0.4734624165986164
25,affinity,MNIST nonoverlaping imbalanced,0.6683961065644084,0.29290414238181584
26,meanshift,MNIST nonoverlaping imbalanced,0.6860002653559722,0.4969773254263184
27,HDBSCAN,MNIST nonoverlaping imbalanced,0.6606667682824076,0.4811420009606599
28,baseline,FMNIST overlaping balanced,0.4790250905923623,0.4787673309232799
29,briggs,FMNIST overlaping balanced,0.4746542966487734,0.4776494477574902
30,sattler,FMNIST overlaping balanced,0.5183650407433369,0.6533334030460604
31,kmeans,FMNIST overlaping balanced,0.6397330289545154,0.4898671679080973
32,affinity,FMNIST overlaping balanced,0.42356016016999304,0.6614018049946648
33,meanshift,FMNIST overlaping balanced,0.6499721713796691,0.4820438995916967
34,HDBSCAN,FMNIST overlaping balanced,0.6058688910981899,0.525694129437803
35,baseline,FMNIST overlaping imbalanced,0.5085577520770893,0.356345990257406
36,briggs,FMNIST overlaping imbalanced,0.5061650386223565,0.3512047288023807
