cluster,ins_mean,ins_median,ins_var,ins_std,ins_p05,ins_p25,ins_p50,ins_p75,ins_p95,del_mean,del_median,del_var,del_std,del_p05,del_p25,del_p50,del_p75,del_p95
AE,0.6155225387196366,0.6131393004345829,0.0020028634696093316,0.0447533626625903,0.554053694758439,0.5805977669415925,0.6131393004345829,0.6514919798659313,0.682680907256632,0.5718598472899926,0.5712140900295595,0.0018557630356989146,0.04307856817141111,0.5181763729391993,0.5360645526936767,0.5712140900295595,0.6004919028442106,0.641113882582619
AD,0.6223357318127334,0.6097671307753925,0.005396428456771708,0.07346038699034813,0.5305009243031968,0.561009807487708,0.6097671307753925,0.6819167252665692,0.7305768923499621,0.58057722948246,0.5960758571546636,0.002928746087882783,0.05411789064517189,0.5061829992877385,0.5293658289004106,0.5960758571546636,0.6193234824431879,0.655257636054688
AA,0.4379655847574347,0.43919787509808006,0.0020128403991866413,0.04486468989290622,0.3615646302400939,0.4220701671146477,0.43919787509808006,0.473952105060615,0.48582609657705306,0.36535781761542124,0.3639668266601648,0.0012958962582784897,0.035998559113921344,0.3088942838861226,0.34307949788410785,0.3639668266601648,0.3923379184538268,0.4098043679314267
AC,0.6223915563556855,0.6107687761457469,0.002410907125496443,0.04910098904804712,0.5650742636982065,0.5891595233968625,0.6107687761457469,0.6511540454149141,0.7047690732249503,0.5963474448694945,0.5917465314583686,0.002626993423612325,0.0512542039603809,0.5338764502048438,0.5550027961459749,0.5917465314583686,0.6433449380695884,0.6690127344789202
AG,0.5634096069432408,0.5820935446290405,0.0010038754565852984,0.03168399369690157,0.5205110011497018,0.5339089268141566,0.5820935446290405,0.5906784239673302,0.5997663904213096,0.5320567411308645,0.5419275069741575,0.001661805934400973,0.040765254008787596,0.47006770343471294,0.4964598382341069,0.5419275069741575,0.5638084834745065,0.5815453830807863
AB,0.6481536153674402,0.6450663843837499,0.001800643143801054,0.04243398571665233,0.5930402406612215,0.6230473450634318,0.6450663843837499,0.6588363801363193,0.7253464833465262,0.5506238742804773,0.5630503335205344,0.0018281886912415992,0.04275732324691993,0.4912456273625095,0.5147592471613829,0.5630503335205344,0.5744312614214919,0.6156635237552677
AH,0.623853932708122,0.621460993561175,0.002857132377629985,0.053452150355528125,0.551372753319362,0.5779865658441902,0.621460993561175,0.6684256041453804,0.7000755664888216,0.5851459307802376,0.5844651759532999,0.001471671167758983,0.03836236655576638,0.5404612187464474,0.5493870737301919,0.5844651759532999,0.618149866389571,0.6425804688002237
AF,0.6427308448498174,0.6441631484179314,0.0017850440797177786,0.04224978200793205,0.5764698776846848,0.6318402204327002,0.6441631484179314,0.6537044609870579,0.7057297633289976,0.5652218365684555,0.5741559653201505,0.0012739602223740287,0.03569257937406638,0.5044392116514467,0.5439670097605617,0.5741559653201505,0.595506059301069,0.6019337467694649
